path,title,summary,created-on,last-modified
https://www.zu.ac.ae/main/en/news/2023/February/MOE-delegates,Zayed University Receives Ministry of Education delegates to further explore the Innovation & Entrepreneurship Ecosystem,"Prof. Michael Allen, Acting Provost and Chief Academic Officer, and a number of senior administrators, faculty members and staff have recently welcomed visiting representatives from the Ministry of Education at the Zayed University Dubai campus.",nan,nan
https://www.zu.ac.ae/main/en/news/2023/February/msee,"HE Sara Musallam, Minister of State for Early Education, Chairwoman of Abu Dhabi Department of Education and Knowledge, receives tour of Zayed University's Abu Dhabi campus ","Her Excellency Noura bint Mohammad Al Kaabi, President of Zayed University (ZU), Minister of State, received HE Sara Musallam, Minister of State for Early Education, Chairwoman of Abu Dhabi Department of Education and Knowledge (ADEK), and an accompanying delegation from ADEK to ZU's Abu Dhabi campus.",nan,nan
https://www.zu.ac.ae/main/en/news/2023/January/cop28uae,Students from Zayed University launch new Sustainability Club with ambitious plans for COP 28,A group of students at Zayed University have launched a new Sustainability Club with ambitious plans to raise awareness of issues around climate change and promote the UAE's target to reach net zero carbon emissions by 2050. ,nan,nan
https://www.zu.ac.ae/main/en/news/2023/January/IHRD23,Zayed University hosts International Holocaust Remembrance Day Ceremony,The second official International Holocaust Remembrance Day Ceremony was held at the Convention Center on the Abu Dhabi Campus at Zayed University on 26 January. The event was held in collaboration with the United States Holocaust Memorial Museum.,nan,nan
https://www.zu.ac.ae/main/en/news/2022/December/fma22,Zayed University students attend first Global Financial Management Association Conference in the Middle East,From 14 - 16 November a group of students from Zayed University's College of Business attended the inaugural Global Financial Management Association Conference in the Middle East.,nan,nan
https://www.zu.ac.ae/main/en/news/2022/December/zuconnect,#ZUConnect series launched to help Zayed University students meet the leading companies seeking the best young talent in the UAE,A new series called #ZUConnect will bring together leading employers in the UAE with students from Zayed University. The first event took place this month at the ZU campus in Dubai and was attended by international and local companies who are looking to hire the best young talent in the UAE.,nan,nan
https://www.zu.ac.ae/main/en/news/2022/December/zai-center,Zayed University launches new research centre to transform Arabic teaching and learning ,"Zayed University today announced the launch of the Zai Centre, a pioneering new research centre focused on Arabic teaching and learning. Zai will be the first academic institution in the UAE to look at how Arabic is taught around the world. Led by internationally acclaimed academic Dr Hanada Taha Thomure, ZAI will identify best practice for teaching Arabic and develop the tools to empower teachers enabling them to inspire their students. Zai will also provide parents with guidance on how they can ensure that their children are able to improve their Arabic at home from a young age.",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/cop27,Zayed University students participate in UN sponsored COP27 Simulation in Cairo,A group of Zayed University (ZU) students from the College of Interdisciplinary Studies were selected from more than 2000 students to take part in the UN sponsored COP 27 Simulation Model at the British University in Cairo.,nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/wcd22,Student Accessibility Services (SAS) Hosts the 12th Annual White Cane Day at Zayed University ,"The Student Accessibility Services (SAS) Department celebrated the International White Cane Day, which falls on Oct 15th, by organizing the 12th edition of the annual event to raise awareness about various topics related to White Cane usage, visual impairment, and accommodation for low-vison and blind students. ",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/nextgen-sgp,Zayed University NextGen Center Collaborates with Strategic Government Partners on Research Projects Linked to UAE's National Strategic Priorities,"Zayed University (ZU) hosted members of the Government of Dubai at its state-of-the-art innovation lab, 'The NextGen Center', to explore opportunities to collaborate on research in innovative technologies linked to the UAE strategic priorities and the 17 UN Global Goals.",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/bluenotes-zu,"Zayed University hosts international conference attended by 50 institutions from 12 countries to promote innovation, share best practice and enhance student learning experience","Zayed University and Explorance successfully hosted the fifth Bluenotes Conference at Raffles Dubai on 25-26 October, amongst more than 130 participants representing 50 institutions from 12 countries around the world. Panelists at the event included prestigious international speakers from the United Arab Emirates, across the GCC, United Kingdom, Canada and the United States.",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/aa-mou,"Zayed University and Arab Academy for Science, Technology and Marine Transport to collaborate on research in archaeology and cultural heritage","Zayed University (ZU) and the College of Archeology and Cultural Heritage at the Arab Academy for Science, Technology and Maritime Transport (AASTMT) - Egypt signed an Memorandum of Understanding to strengthen cooperation in the field of research in archaeology and cultural heritage between the two institutions.",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/zu-eca,Zayed University partners with Abu Dhabi Early Childhood Authority on pioneering Parenting Program,The Abu Dhabi Early Childhood Authority (ECA) has announced the launch of a new Parenting Program in partnership with New York University Abu Dhabi (NYUAD) and with a consortium of partners including Zayed University and the Emirates College for Advanced Education (ECAE).,nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/zai-center,Zayed University launches new research centre to transform Arabic teaching and learning,"Zayed University today announced the launch of the Zai Centre, a pioneering new research centre focused on Arabic teaching and learning. Zai will be the first academic institution in the UAE to look at how Arabic is taught around the world. Led by internationally acclaimed academic Dr Hanada Taha Thomure, Zai will identify best practice for teaching Arabic and develop the tools to empower teachers enabling them to inspire their students. Zai will also provide parents with guidance on how they can ensure that their children are able to improve their Arabic at home from a young age.",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/mbr-lib,"Partnership with Mohammed Bin Rashid Library will ""Stimulate a Passion for Knowledge"" in Zayed University students","The leadership of Zayed University (ZU) and the Mohammed Bin Rashid Library (MBRL) signed a memorandum of understanding (MoU) recently, which will provide Zayed University students with access to the largest library in the Middle East.",nan,nan
https://www.zu.ac.ae/main/en/news/2022/November/career-fair22,Leading Emirati and international companies urge Zayed University students to pursue opportunities in private sector at Career Fair,Students at Zayed University's annual Career Fair were urged to pursue job opportunities in the private sector when they graduate.,nan,nan
https://www.zu.ac.ae/main/en/news/2022/October/zucisco,"CISCO to join Zayed University's partner challenge program, helping to shape future leaders, thinkers, and doers of the nation","Zayed University today announced that Cisco will join its pioneering Partner Challenge program, as part of a new Memorandum of Understanding (MoU) signed between the two parties.
",nan,nan
