ServiceName,ServiceCode,GeneratedLink,Description,Procedures,TargetAudience,ServiceTime,ServiceFee,ServiceLocation,ServiceContact,SDGoals,title,name,path,keywords,ServiceUrl,IconFileUrl,DescriptionTrimmed,ServiceID
Academic Advising,AD-001,,"Academic Risk Management (ARM) is a web-based advising system where students can schedule an appointment to meet their advisors. Also, students can attain academic support services such as PALs.
It is an easy and effective service that allows students to follow their academic performance and identify their strengths and weaknesses in their academic performance in advance. This system is also providing management of students’ advising appointments, records meetings reports, identify students during academic assessments, and first-year duration, as well as provide internal training and career path guidance. 
The most important features of ARM:
• Students can check their assigned advisors when they need to make an appointment
• ARM provides early warning notifications for students that may be at-risk academically.
• Students can access their academic reports related to advising services.
 •Contact students through emails
 •Obtain academic support services such as PALs, Al Waha center, and Math Café
 •Follow the progress of students during their assessments to improve the success criteria
 •The system is effective and easy to use","1. Login with your ZU ID and password    
2. Click on Start button     
3. Fill in the appointment form for your preferred date/time      
4. Submit the request form
5. Get Confirmation on the Date/Time from the advisor by Email   
6. Meet the advisor online",['7'],The average time to make an appointment is 2 mintues.,N/A,Through online meeting Zoom and MS Teams.,Email us at: Student_Success@zu.ac.ae,"Zayed University provides high quality of advising services to support the students in education journey required to realize a sustainable society. We are at ZU promoting efforts to create common values with society, including the discovery and prevention of risks. The ZU analyzes our contributions to the sustainable development goals and the impacts on our long-term growth from the areas of the quality education, reduced inequalities and good health and wellbeing. 


Sustainable Development Goal:  	Rationale to advising services
Quality Education:                    	The advising services ensure to allow students to have high quality of education
Reduced inequalities:	                The advising services are available and can be easily obtained by any student at ZU regardless of their personalities and background
Good health and wellbeing:	        The advising services increase the wellbeing of students when they have the necessary support from their advisors

",Academic Advising,AD-001,NA,Academic Advising,https://eservices.zu.ac.ae/Service/en/Card/Academic-Advising,https://eservices.zu.ac.ae/Content/Icons/44e50a94-e2c1-4146-98b3-db3a1176fd05.png,Academic Risk Management (ARM) is a web-based advising system where students can schedule an appoint...,75
Admission Acceptance Offer ,AAO,https://admission.zu.ac.ae/Welcome,"This is an online link of the Admission Offer. This link is sent to admitted students through email and SMS message to confirm acceptance of the admission offer, update personal data, confirm reading ZU student handbook, agree on ZU policies and procedures related to confidentiality of data, off campus trips, and registration in SMS messages.","1- Student data is downloaded from NAPO/MOE system
2- An online link is sent to all admitted students
3- Student press the link, enter the verification code 
4- Student confirm personal data, read student handbook, and agree to ZU policies and procedures related to confidentiality of data, off campus trips, and conditional offers. ",['7'],After the official release of admission results by MOE,0,Online link,DXB_admission[@]zu.ac.ae.  AUH_admission[@]zu.ac.ae.,"Goal 4: Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all

This service allows students to pursue a higher education degree that equips them with the knowledge, skills and competences that are needed for effective contribution to the social and economic development of the country. Maximizing participation in higher education will lead to more intellectual, competent and innovative citizens who would be able to compete effectively in the increasingly competitive and complex global market  ",Admission Acceptance Offer ,AAO,https://www.zu.ac.ae/mainhttps://admission.zu.ac.ae/Welcome,Admission Acceptance Offer ,https://eservices.zu.ac.ae/Service/en/Card/Admission-Acceptance-Offer-,https://eservices.zu.ac.ae/Content/Icons/851d549b-7b43-458f-81c4-49b4741636e4.png,This is an online link of the Admission Offer This link is sent to admitted students through email a...,89
Admission for International Students,Adm-06,https://application.zu.ac.ae/,All international students(Non-Emirati and/or students who do not have a UAE family book),"1.	Click on “Apply Now” 
2.	Fill the required fields to create a profile.
3.	Complete the expressions part of the application (5 questions interview).
4.	Complete the writing part of the application.
5.	Complete all other sections of the application.
6.	Click on “Submit Application”.
",['7'],3-4 Weeks,262.50 AED,"Admission office
Zayed University  
Dubai campus: Main entrance 
Abu Dhabi campus: Gate 2 for female students , Gate 5 for male students.","DXB Campus email: ug_admissions@zu.ac.ae - DXB Tel no: 04- 4021444. AUH Campus email: ug_admissions@zu.ac.ae -AUH Tel no: 02- 5993593

",,Admission for International Students,Adm-06,https://www.zu.ac.ae/mainhttps://application.zu.ac.ae/,Admission for International Students,https://eservices.zu.ac.ae/Service/en/Card/Admission-for-International-Students,https://eservices.zu.ac.ae/Content/Icons/ee9c6957-8f3d-41da-99b6-ca5b82e4dd44.png,All international students(Non-Emirati and/or students who do not have a UAE family book),90
Alumni ID Card,SCO-G-1,,"Alumni ID card has now been digitalised. Graduates may apply for the electronic Alumni ID card online and receive it via link on their registered personal e-mail. The e-card may be used to access ZU campus,  the privilege of the benefits from the community and to apply for Fazaa Card. 

Note: Kindly  check the alumni webpage for all new offers, as new benefits gets added from time to time
","•	Click on e-services tab on ZU Official Website 
•	Click on “Alumni ID Card” to apply for the Alumni ID Card 
•	Click on “Login”, log in using your Username (ZU ID number) and Password 
Incase you have not used your account for a long period of time, the system will send you a re-activation link to their registered personal e-mail address to reactivate it 

Note: In case you do not recall your password, click on “Reset Password”, a new password will be sent to your personal e-mail. 
Re-log in using the new password sent by the system through e-mail. This is the password that you will be required to use every time He/She logins in. 
•	Fill the form to apply 
•	Fill the survey 
•	Click on “Submit”
Your Alumni ID e-Card wil be sent to you via link on your registered personal e-mail ",['5'],24 to 48 working hours once the request is submitted ,0 AED,"Student and Alumni Careers Office - Zayed University

Dubai Campus - located in block E.

Abu Dhabi Campus - located on the ground floor of the Administration building. ",Alumni[@]zu.ac.ae.,,Alumni ID Card,SCO-G-1,NA,Alumni ID Card,https://eservices.zu.ac.ae/Service/en/Card/Alumni-ID-Card,https://eservices.zu.ac.ae/Content/Icons/586847ba-85ca-48ce-8374-cdd012420308.png,Alumni ID card has now been digitalised Graduates may apply for the electronic Alumni ID card online...,4
Application for Graduate Program Admission,GS-1-APPGRAD, https://apply.zu.ac.ae/Ellucian.ERecruiting.Web.External/Pages/Welcome.aspx,Application for Graduate Program Admission,"1.	Click ""Start"" to be redirected to the Application for Graduate Program Admission. 
2.	If you are already registered, please enter your email address and password to log in.
3.	Click ""Create a Profile"" to register with our email address and password and submit.
4.	Complete the Application for Graduate Program Admission by entering your information in each of the sections. Fields with a red asterisk (*) are required and must be completed before you can submit your application. Additional questions may become required based on your answers to a previous question.
5.	Click ""Submit Application"".
6.	Click ""My Account"" to submit the required supplemental documents and receipt of the non-refundable application fee in PDF format.
7.	Click ""Log Out"".
","['3', '6', '8']",*Average time for application submission: 20 minutes  *Average time to admit: 2 weeks from the graduate programs admissions deadline ,AED 420 ,"Deanship of Graduate Studies 
Office Nr. MF1-2-073
Zayed University - Khalifa City West Campus
Male Section, Gate 5 
Abu Dhabi, U.A.E.

",Maureen Goodwin /Maureen.Goodwin@zu.ac.ae +971-2-599-3605,,Application for Graduate Program Admission,GS-1-APPGRAD,https://www.zu.ac.ae/main https://apply.zu.ac.ae/Ellucian.ERecruiting.Web.External/Pages/Welcome.aspx,Application for Graduate Program Admission,https://eservices.zu.ac.ae/Service/en/Card/Application-for-Graduate-Program-Admission,https://eservices.zu.ac.ae/Content/Icons/f75071cd-aaa4-4afd-991b-94947d8dce97.png,Application for Graduate Program Admission,62
Assessment Form,SAS001,,"The Student Accessibility Services Department (SAS) conducts a variety of psycho-educational assessments to have a deeper understanding of the students’ educational needs and abilities, and identify other issues that can interfere with their learning process.","1. Click Login. 
2. Use your ZU ID and password to login. 
3. Fill the ""Assessment Request Form"" fields. 
5. Click Submit. 
6. Your request will be reviewed, and you will be contacted by Student Accessibility Services staff. 
",['7'],On average 3 working days from the date of submitting the request.,No Fees Required,"Abu Dhabi: Student Accessibility Services Department           
           Library, LB-01-037- 1st Floor

Dubai: Student Accessibility Services Department
       Ground Floor, 04-GF-054","Hassan.Wardi@zu.ac.ae, Rania.Ali@zu.ac.ae",,Assessment Form,SAS001,NA,Assessment Form,https://eservices.zu.ac.ae/Service/en/Card/Assessment-Form,https://eservices.zu.ac.ae/Content/Icons/d4bdf1bf-e6a4-4ac5-b884-b920576396eb.png,The Student Accessibility Services Department (SAS) conducts a variety of psycho-educational assessm...,81
Business Card  e-form,CP 001,https://businesscard.zu.ac.ae/,Request for a business card,"1. Click on the below link for business card request.
2. Click on submit to finalize your request.  
",['3'],10 days,No fee required,Contracts & Procurement Department,businesscard.gcd@zu.ac.ae ,,Business Card  e-form,CP 001,https://www.zu.ac.ae/mainhttps://businesscard.zu.ac.ae/,Business Card  e-form,https://eservices.zu.ac.ae/Service/en/Card/Business-Card--e-form,https://eservices.zu.ac.ae/Content/Icons/763cae8c-ab10-49aa-8a4b-fcf06b4fe3e1.png,Request for a business card,48
Certificate Regarding required documents to apply for Financial Aid - Digital PDF,FA-03,,Issuing a digital certificate regarding the required documents to apply for Financial Aid in the university upon student’s request.,"1. Click Login
2. Use your ZU ID and password
3. Click Start
4. Submit
5. Student Support Unit will issue the certificate.
6. Student Support Unit will send you an email with the certificate attached as a file.
",['7'],The average time for application submission: 5 minutes/ The average time to issue the digital document: 2 working days,N/A,e-Service,Submit your inquiries to: https://fa.zu.ac.ae/Enquiries/EnquirySurvey?f=1,Financial aid services provided by Zayed University ensures inclusivity and equitable quality education and ensure lifelong learning opportunities for students who come from low-income family.,Certificate Regarding required documents to apply for Financial Aid - Digital PDF,FA-03,NA,Certificate Regarding required documents to apply for Financial Aid - Digital PDF,https://eservices.zu.ac.ae/Service/en/Card/Certificate-Regarding-required-documents-to-apply-for-Financial-Aid---Digital-PDF,https://eservices.zu.ac.ae/Content/Icons/f2a04d9f-505f-4b90-be76-3c94f9e16eef.png,Issuing a digital certificate regarding the required documents to apply for Financial Aid in the uni...,76
Convention center feedback form ,CPDS - 05,https://irsurveys.zu.ac.ae/Blue/a.aspx?s=694_1_9NnwpoAOpFq,Its forms to be send to all Internal and external clients who use facility of the convention center.,After each event the Convention center team send the online feedback form to the clients who conduct the event at the CC,"['6', '5', '3', '7', '8']",N/A,No fee required,Administration building – Level 1 – Campus services  ,zucc-dxb@zu.ac.ae/     -      zucc-auh@zu.ac.ae ,,Convention center feedback form ,CPDS - 05,https://www.zu.ac.ae/mainhttps://irsurveys.zu.ac.ae/Blue/a.aspx?s=694_1_9NnwpoAOpFq,Convention center feedback form ,https://eservices.zu.ac.ae/Service/en/Card/Convention-center-feedback-form-,https://eservices.zu.ac.ae/Content/Icons/040cb3f5-8bf6-4867-a5be-2c573dbb4738.png,Its forms to be send to all Internal and external clients who use facility of the convention center,42
Course Materials Accommodation for Students of Determination,SAS002,,"The Student Accessibility Services Department (SAS) offers material accommodation services for Students of Determination to facilitate access to curriculum and course materials, to ensure equal educational opportunities. Faculty members can apply for this service for their Students of Determination.","
1. Click Login.
2. Use your ZU ID and password to login. 
3. Fill the ""Course Material Accommodation Request Form"" fields.
4. Attach the document. 
5. Click Submit.
6. Request will be reviewed, and you will be contacted by Student Accessibility Services staff.

","['7', '3']","On average 7 working days, depending on size, from the date of submitting the required material  or request. ",No Fees Required,"Abu Dhabi: Student Accessibility Services Department           
           Library, LB-01-037- 1st Floor

Dubai: Student Accessibility Services Department
       Ground Floor, 04-GF-054

",(Dubai): Mariyam.Juma@zu.ac.ae - 04 402 1258  (Abu Dhabi): Fatima.AlSaqqaf@zu.ac.ae - 02 599 3228 ,,Course Materials Accommodation for Students of Determination,SAS002,NA,Course Materials Accommodation for Students of Determination,https://eservices.zu.ac.ae/Service/en/Card/Course-Materials-Accommodation-for-Students-of-Determination,https://eservices.zu.ac.ae/Content/Icons/9e6fb71b-e519-425d-982e-939ebed5d3b9.png,The Student Accessibility Services Department (SAS) offers material accommodation services for Stude...,51
