path,title,summary,created-on,last-modified
https://www.zu.ac.ae/main/ar/news/2022/June/ghaf,مشروع بحثي لـ 3 طالبات من جامعة زايد يحصد الجائزة الثانية في المؤتمر الدولي حول الاستدامة والبيئة في الصين,"حصد مشروع بحثي لثلاثة طالبات من جامعة زايد، بكلية العلوم الطبيعية والصحية، على الجائزة الثانية في فئة البيئة الذكية خلال مشاركتهم بمؤتمر الطلبة الدولي حول البيئة والاستدامة 2022 الذي عقده برنامج الأمم المتحدة للبيئة وجامعة ""تونغجي"" في الصين، والذي حضره أكثر من 3000 طالب دولي من أكثر من 50 دولة لتبادل الأفكار والممارسات المتعلقة بالتنمية المستدامة. ",nan,nan
https://www.zu.ac.ae/main/ar/news/2022/May/zuc-strat,مجلس جامعه زايد برئاسه معالي نوره الكعبي يناقش خطه الجامعة الاستراتيجية لمواكبة متغيرات سوق العمل المستقبلي,عقد مجلس جامعة زايد اجتماعه الثاني لعام 2022 برئاسة معالي نورة بنت محمد الكعبي وزيرة الثقافة والشباب رئيسة جامعة زايد، حيث ناقش المجلس التحول الاستراتيجي للجامعة وخطه العمل والذي تهدف الى طرح برامج تستبق متطلبات سوق العمل وتستشرف المهارات المستقبلية وترتقي بالتجربة التعليمية للطلبة.,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/May/uranium,أكاديمي يستعرض نتائج استخراج اليورانيوم في الشرق الأوسط وشمال أفريقيا,استعرض الأستاذ الدكتور فارس هواري عميد كلية العلوم الطبيعية والصحية في جامعة زايد أحدث الدراسات والنتائج الخاصة في التنقيب عن خامات اليورانيوم، وكذلك أسلوب وطرق استخدام الوسائل الحديثة في دراسة البيانات الجيولوجية والجيوكيميائية والجيوفيزيائية للتنبؤ بمواقع هذه الخامات في جميع أنحاء الشرق الأوسط وشمال أفريقيا والبلدان المحيطة بها.,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/April/adports,جامعة زايد ومجموعة موانئ أبوظبي توقعان مذكرة تفاهم لتطوير حلول الاستدامة البحرية ,وقعت جامعة زايد، إحدى الجامعات الحكومية الرائدة، مذكرة تفاهم مع مجموعة موانئ أبوظبي، المحرك الرائد للتجارة واللوجستيات والصناعة في العاصمة أبوظبي، لتحقيق عدد من أهداف التنمية المستدامة في العديد من المجالات الرئيسية.,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/March/malay-woman,جامعة زايد تستقبل الوزيرة الماليزية لشؤون المرأة والأسرة وتنمية المجتمع,استقبل أعضاء أسرة جامعة زايد معالي رينا هارون وزيرة شؤون المرأة والأسرة وتنمية المجتمع – ماليزيا، خلال زيارة قامت بها والوفد المرافق لها مؤخراً للحرم الجامعي في إمارة دبي، وذلك بهدف التطلع والاستفادة من مستوى الخدمات المقدمة من قبل الجامعة لدعم الطلبة خلال مراحل التعليم. ,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/March/heritage-rev,"جامعة زايد ومركز حمدان بن محمد لإحياء التراث ينظمان ""مؤتمر الابتكار والتراث الثقافي""",انطلقت اليوم الثلاثاء الموافق 8 مارس فعاليات مؤتمر الابتكار والتراث الثقافي الذي تنظمه جامعة زايد بالتعاون مع مركز حمدان بن محمد لإحياء التراث، ويستمر لمدة يومين في مركز المؤتمرات بحرم جامعة زايد في دبي.,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/March/furture-makers,"جامعة زايد تحتفل بتخريج ""دفعة صُنّاع المستقبل"" 2022", تحت رعاية معالي نورة بنت محمد الكعبي وزيرة الثقافة والشباب رئيسة جامعة زايد ، تستعد الجامعة للاحتفال بتخريج الدفعتين الـ١٩ والـ٢٠ للطالبات و الدفعتين الـ٩ والـ١٠ للطلاب في مرحلة البكالوريوس، ودفعات مختلفة من خريجي الدراسات العليا، وسيقام الحفل حضورياً في القاعة الشمالية لمركز دبي للمعارض في منطقة إكسبو 2020 دبي خلال الفترة من 14 إلى 16 مارس 2022.,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/March/graduation2022,"سمو الشيخ حامد بن زايد آل نهيان يشهد حفل جامعة زايد لتخريج ""دفعة صنّاع المستقبل 2022"" ","شهد سمو الشيخ حامد بن زايد آل نهيان عضو المجلس التنفيذي لإمارة أبوظبي احتفال جامعة زايد بتخريج دفعة ""صناع المستقبل"" لـ618 طالبًا وطالبة حاصلين على درجة الامتياز ومراتب الشرف ودفعات مختلفة من خريجي الدراسات العليا، خلال حفل استثنائي أقيم يوم الأربعاء (الموافق 16 مارس) بحضور كبار الزوار في إكسبو دبي 2020 بالقاعة الشمالية لمركز دبي للمعارض.",nan,nan
https://www.zu.ac.ae/main/ar/news/2022/February/ideathon,"جامعة زايد تطلق مسابقة ""آيدياثون"" لحث الطلبة على الابتكار",أطلقت جامعة زايد خلال شهر الإمارات للابتكار لهذا العام مسابقة افتراضية دولية تستهدف طلبة المدارس والجامعات من كافة أنحاء العالم في الفئة العمرية ما بين 17 و20 عاما، في مجال استحداث حلول مبتكرة تسهم في تعزيز التعليم في المدارس والجامعات. ,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/February/uaeinnov-w3,مشاركة جامعة زايد في الأسبوع الثالث لشهر الإمارات للابتكا,تنظم جامعة زايد للأسبوع الثالث على التوالي عدة أنشطة وفعاليات في مجال الابتكار العلمي ضمن شهر الإمارات للابتكار 2022. ,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/February/madda,جامعة زايد توقع اتفاقية تعاون مع جامعة إثيوبية,وقعت جامعة زايد اتفاقية تعاون مع جامعة ماددا ولابو الإثيوبية لدعم وتعزيز البحوث الأكاديمية والبرامج التعليمية وفرص تدريب الطلبة الجامعيين، وتم ذلك بحضور سعادة الدكتور أحمد كليل رئيس جامعة ماددا ولابو ونائبه الدكتور حسن شيفا، وحضور كل من سعادة الدكتور كلايتون ماكينزي نائب مدير جامعة زايد، والدكتور فارس هواري عميد كلية العلوم الطبيعية والصحية بجامعة زايد.,nan,nan
https://www.zu.ac.ae/main/ar/news/2022/February/global-edu,جامعة زايد تشارك في المعرض العالمي للتعليم والتدريب 2022,"
تشارك جامعة زايد في المعرض العالمي للتعليم والتدريب المقام تحت رعاية معالي الشيخ نهيان بن مبارك آل نهيان وزير التسامح والتعايش في دولة الإمارات، وذلك في قاعة الشيخ راشد بمركز دبي الدولي للمؤتمرات والمعارض ولمدة ثلاثة أيام ابتداءً من 24 إلى 26 من الشهر الجاري.",nan,nan
https://www.zu.ac.ae/main/ar/news/2022/January/apple-dis,إدارة التسهيلات الطلابية في جامعة زايد تجدد انضمامها لمجموعة مدارس أبل المتميزة للمرة الثالثة على التوالي,"فازت إدارة التسهيلات الطلابية في جامعة زايد، والتي تقوم جميع الخدمات الأكاديمية الداعمة لتعليم أصحاب الهمم في الجامعة، بجائزة ""مدارس أبل المتميزة"" للأعوام 2021-2024 وهي جائزة متخصصة في مجال الإبداع والقيادة والتميز العلمي، تمنحها ""أبل"" للجهات التي تمثل رؤيتها لبيئة مستقبلية تعليمية متميزة.",nan,nan
https://www.zu.ac.ae/main/ar/news/2021/December/microe,جامعة زايد ترعى مؤتمر دولي لاستكشاف أمن أنظمة الإلكترونيات الدقيقة,شاركت جامعة زايد كراعٍ تقنيٍ رئيسي في مؤتمر الأنظمة والدوائر الإلكترونية الدولي الثامن والعشرين والذي تم استضافته على مدى أربعة أيام بفندق سوفيتل دبي ذا أوبيليسك ولأول مرة في إمارة دبي، حيث ركز المؤتمر على أهمية الاستثمار في تصميم وابتكار الدوائر والأنظمة الإلكترونية الأمنية الدقيقة، وتضمن المؤتمر عدة محاور أخرى في الذكاء الاصطناعي والأنظمة الذكية وانترنت الأشياء أيضا . ,nan,nan
https://www.zu.ac.ae/main/ar/news/2021/December/uc2021-f,مجلس جامعة زايد يناقش عدداً من السياسات والإجراءات للارتقاء برؤية متكاملة لمستقبل عامر بالإنجازات خلال الـ 50 عاماً المقبلة,عقد مجلس جامعة زايد اجتماعه الرابع والأخير للعام الأكاديمي 2021 / 2022 برئاسة معالي نورة بنت محمد الكعبي وزيرة الثقافة والشباب، رئيسة جامعة زايد، بقاعة كبار الزوار في جناح دولة الإمارات العربية المتحدة المتواجد في الحدث العالمي إكسبو دبي 2020، وذلك بهدف استعراض جملة من المواضيع المدرجة على جدول أعماله للعام الأكاديمي القادم.  ,nan,nan
https://www.zu.ac.ae/main/ar/news/2021/December/ahlia-sas,جامعة زايد تنظم مبادرة توعوية لتحسين جودة التعليم للطلبة من أصحاب الهمم ,نظمت إدارة التسهيلات الطلابية في جامعة زايد مبادرة توعوية بمشاركة المدارس الأهلية الخيرية بهدف بناء قدرات المعلمين وفرق الدمج المدرسية والطلبة حول المواضيع المتعلقة بأصحاب الهمم والوصول السهل للخدمات التعليمية، وتأتي المبادرة كجزء لا يتجزأ من حرص الإدارة على المسؤولية المجتمعية في دولة الإمارات وبهدف تحفيز الدمج المجتمعي وسهولة الوصول للتعليم للطلبة من أصحاب الهمم.,nan,nan
https://www.zu.ac.ae/main/ar/news/2021/November/flagday2021,جامعة زايد ترفع علم الدولة في كلا حرميها بأبوظبي ودبي,شاركت جامعة زايد بفعالية يوم العلم ، و ذلك استجابة لدعوة صاحب السمو الشيخ محمد بن راشد آل مكتوم، نائب رئيس الدولة، رئيس مجلس الوزراء، حاكم دبي «رعاه الله»، للاحتفال بيوم العلم باعتباره رمزاً لوحدة دولة الإمارات وتلاحم شعبها، والذي يتزامن مع ذكرى تولي صاحب السمو الشيخ خليفة بن زايد آل نهيان، رئيس الدولة «حفظه الله»، مقاليد الحكم. ,nan,nan
https://www.zu.ac.ae/main/ar/news/2021/November/haifa,جامعة زايد توقع شراكة أكاديمية مع جامعة حيفا,وقعت معالي نورة بنت محمد الكعبي، وزيرة الثقافة والشباب، رئيسة جامعة زايد وسعادة رون روبن رئيس جامعة حيفا على اتفاقية تعاون مؤخراً لتشكيل شراكة أكاديمية في المشاريع التي تعزز من مستوى البحث العملي والتعليم وبناء المهارات والقدرات التي تحاكي متطلبات سوق العمل في المستقبل، وتم ذلك بحضور سعادة محمد آل خاجه سفير دولة الإمارات العربية المتحدة لدى إسرائيل، وسعادة أمير حايك سفير إسرائيل لدى دولة الإمارات.,nan,nan
https://www.zu.ac.ae/main/ar/news/2021/November/zumeff21,جامعة زايد تحتفل باليوبيل الذهبي لدولة الإمارات من خلال مهرجان الشرق الأوسط السينمائي,تستعد جامعة زايد لإطلاق النسخة الـ11 من مهرجان جامعة زايد الشرق الأوسط السينمائي (ZUMEFF) والمقرر عقده تحت الرعاية الكريمة لمعالي نورة بنت محمد الكعبي، وزيرة الثقافة والشباب، رئيسة جامعة زايد، عبر الإنترنت في الفترة من 16 إلى 18 نوفمبر 2021.,nan,nan
