path,name,created_on,last_modified
https://www.zu.ac.ae/main/ar/eblogs,المدونة,2021-11-22 11:31:41,2021-11-22 11:31:58
https://www.zu.ac.ae/main/ar/student-careers,إدارة الشؤون المهنية للطلبة والخريجين,2021-06-02 10:33:50,2021-06-28 14:56:01
https://www.zu.ac.ae/main/ar/student-careers/_files,_files,2021-06-02 10:34:32,2021-06-02 10:34:32
https://www.zu.ac.ae/main/ar/student-careers/_media_gallery,معرض الصور,2021-06-02 10:33:51,2021-06-02 10:33:51
https://www.zu.ac.ae/main/ar/dl-S-precautionary,فيروس كورونا المستجد,2020-05-11 19:46:09,2020-05-11 19:46:09
https://www.zu.ac.ae/main/ar/dl-S-precautionary/_images,_images,2020-05-11 19:46:10,2020-05-11 19:46:10
https://www.zu.ac.ae/main/ar/dl-F-precautionary,فيروس كورونا المستجد,2020-05-11 13:16:59,2020-05-11 13:16:59
https://www.zu.ac.ae/main/ar/dl-F-precautionary/_images,_images,2020-05-11 13:16:59,2020-05-11 13:16:59
https://www.zu.ac.ae/main/ar/dl-F-covid-19,فيروس كورونا المستجد,2020-05-11 13:16:16,2020-05-11 13:16:16
https://www.zu.ac.ae/main/ar/dl-F-covid-19/_images,_images,2020-05-11 13:16:17,2020-05-11 13:16:17
https://www.zu.ac.ae/main/ar/dl-F-covid-19/_images/__MACOSX,__MACOSX,2020-05-11 13:16:17,2020-05-11 13:16:17
https://www.zu.ac.ae/main/ar/RUH2019,RUH2019,2019-03-03 13:57:32,2019-03-03 13:57:32
https://www.zu.ac.ae/main/ar/RUH2019/_ebook,ebook,2020-10-28 14:54:27,2020-10-28 14:54:27
https://www.zu.ac.ae/main/ar/student-support,الدعم المادي,2018-10-30 11:10:55,2021-08-15 09:21:57
https://www.zu.ac.ae/main/ar/student-support/SFAA,برنامج الدعم المادي الذكي,2021-08-16 16:37:46,2021-08-16 16:38:52
https://www.zu.ac.ae/main/ar/student-support/Required.Documents,المستندات المطلوبة,2021-08-11 15:33:50,2021-08-11 15:44:53
https://www.zu.ac.ae/main/ar/student-support/Conditions,الشروط,2021-08-11 15:40:22,2021-08-15 09:21:03
https://www.zu.ac.ae/main/ar/student-support/Services-for-International-Students,الخدمات المقدمة للطالبة الدوليون,2021-08-05 14:00:28,2021-08-11 15:51:33
https://www.zu.ac.ae/main/ar/student-support/Services-for-nationals,الخدمات المقدمة للطلاب المواطنين وابناء المواطنات,2021-08-05 13:59:38,2021-08-08 12:32:38
https://www.zu.ac.ae/main/ar/student-support/_NotPublished,Pages that are not ready for publishing,2021-06-03 11:12:21,2021-06-03 11:12:21
https://www.zu.ac.ae/main/ar/year-of-zayed-initiatives,year-of-zayed-initiatives,2018-10-30 11:21:53,2018-10-30 11:21:53
https://www.zu.ac.ae/main/ar/year-of-zayed-initiatives/_news_items,_news_items,2018-10-30 11:21:56,2018-10-30 11:21:56
https://www.zu.ac.ae/main/ar/year-of-zayed-initiatives/_news_items/_pics,_pics,2018-10-30 11:21:56,2018-10-30 11:21:56
https://www.zu.ac.ae/main/ar/year-of-zayed-initiatives/projects,مبادرات القراءة,2018-10-30 11:21:55,2018-10-30 11:21:55
https://www.zu.ac.ae/main/ar/year-of-zayed-initiatives/projects/_index,_index,2018-10-30 11:21:55,2018-10-30 11:21:55
https://www.zu.ac.ae/main/ar/year-of-zayed-initiatives/_index,News Folder,2018-10-30 11:21:55,2018-10-30 11:21:55
https://www.zu.ac.ae/main/ar/DHDC2018,DHDC2018,2018-10-30 11:21:51,2018-10-30 11:21:51
https://www.zu.ac.ae/main/ar/DHDC2018/ExhibitionParticipants, المشاركون في المعرض ,2018-10-30 11:21:52,2018-10-30 11:21:52
https://www.zu.ac.ae/main/ar/library,المكتبات وموارد التعلم,2018-10-30 11:21:49,2018-10-30 11:21:49
https://www.zu.ac.ae/main/ar/library/_hidden,Hidden,2019-10-14 13:55:18,2019-10-14 13:55:18
https://www.zu.ac.ae/main/ar/contact_us,اتصل بنا,2018-10-30 11:21:48,2018-10-30 11:21:48
https://www.zu.ac.ae/main/ar/contact_us/_obsolete_pages,Obsolete Pages,2018-10-30 11:21:49,2018-10-30 11:21:49
https://www.zu.ac.ae/main/ar/contact_us/virtual-tour,جولة,2018-10-30 11:21:48,2019-10-30 11:44:33
https://www.zu.ac.ae/main/ar/photo_gallery,معرض صور جامعة زايد,2018-10-30 11:14:03,2018-10-30 11:14:03
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years,_older_years,2018-10-30 11:14:24,2018-10-30 11:14:24
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015,nov2015,2018-10-30 11:14:44,2018-10-30 11:14:44
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/flagday,يوم العلم 2015,2018-10-30 11:15:19,2018-10-30 11:15:19
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/innovation_week,أسبوع الابتكار والابداع,2018-10-30 11:15:19,2018-10-30 11:15:19
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/student_support,برنامج التواصل لدعم الطلبة,2018-10-30 11:15:17,2018-10-30 11:15:17
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/innovation_lab,فعاليات مختبر الابتكار بجامعة زايد,2018-10-30 11:15:14,2018-10-30 11:15:14
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/ArtTent,مهرجان خيمة الفنون,2018-10-30 11:15:10,2018-10-30 11:15:10
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/innovation_services,الإبتكار في الخدمات,2018-10-30 11:15:08,2018-10-30 11:15:08
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/innovation_comp,حفل تكريم الطلبة الرابحين في مسابقة الابتكار,2018-10-30 11:15:06,2018-10-30 11:15:06
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/dubai_day2,أسبوع الإمارات للابتكار – جامعة زايد، فرع دبي (اليوم الثاني),2018-10-30 11:15:03,2018-10-30 11:15:03
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/auh_day2,أسبوع الإمارات للابتكار – جامعة زايد، فرع أبوظبي (اليوم الثاني),2018-10-30 11:15:02,2018-10-30 11:15:02
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/auh_day3,أسبوع الإمارات للابتكار – جامعة زايد، فرع أبوظبي (اليوم الثالث),2018-10-30 11:14:57,2018-10-30 11:14:57
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/nd2015,إحتفالات اليوم الوطني في جامعة زايد,2018-10-30 11:14:49,2018-10-30 11:14:49
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/Think_Zayed,ملتقى نهج زايد وحفل توزيع جوائز مسبقة الطلبة,2018-10-30 11:14:46,2018-10-30 11:14:46
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2015/Commemoration,يوم الشهيد,2018-10-30 11:14:45,2018-10-30 11:14:45
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2016,nov2016,2018-10-30 11:14:31,2018-10-30 11:14:31
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2016/flagday2016, جامعة زايد تحتفل بيوم العَلَم ,2018-10-30 11:14:43,2018-10-30 11:14:43
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2016/wcd2016,جامعة زايد تُحْيي اليوم العالمي للعصا البيضاء,2018-10-30 11:14:42,2018-10-30 11:14:42
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2016/hrh_haya, زيارة صاحبة السمو الملكي الأميرة هيا بنت الحسين وسعادة السيدة الأولى لمالطا ميشيل موسكات الى جامعة زايد,2018-10-30 11:14:41,2018-10-30 11:14:41
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/nov2016/innoweek16,أسبوع الابتكار في جامعة زايد ٢٠١٦,2018-10-30 11:14:31,2018-10-30 11:14:31
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/September2016,سبتمبر,2018-10-30 11:14:30,2018-10-30 11:14:30
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/September2016/convo16,معالي الشيخة لبنى القاسمي تفتتح الملتقى السنوي الـ (19) لأسرة جامعة زايد,2018-10-30 11:14:30,2018-10-30 11:14:30
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/October2016,أكتوبر,2018-10-30 11:14:25,2018-10-30 11:14:25
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/October2016/dean, جامعة زايد تكرم 730 من طلبتها المتفوقين ,2018-10-30 11:14:29,2018-10-30 11:14:29
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/October2016/karboul,"جامعة زايد تستقبل الدكتورة آمال كربول في حلقة نقاشية بعنوان  ""الريادة في عالم معقّد"" ",2018-10-30 11:14:27,2018-10-30 11:14:27
https://www.zu.ac.ae/main/ar/photo_gallery/_older_years/October2016/chinese,رقصات وأغانٍ صينية بلُغَة عربية في جامعة زايد,2018-10-30 11:14:25,2018-10-30 11:14:25
https://www.zu.ac.ae/main/ar/photo_gallery/Scripts,Scripts,2018-10-30 11:21:48,2018-10-30 11:21:48
https://www.zu.ac.ae/main/ar/photo_gallery/imgs,imgs,2018-10-30 11:20:31,2018-10-30 11:20:31
https://www.zu.ac.ae/main/ar/photo_gallery/imgs/__MACOSX,__MACOSX,2018-10-30 11:20:33,2018-10-30 11:20:33
https://www.zu.ac.ae/main/ar/photo_gallery/css,css,2018-10-30 11:20:31,2018-10-30 11:20:31
https://www.zu.ac.ae/main/ar/photo_gallery/images,images,2018-10-30 11:20:31,2018-10-30 11:20:31
https://www.zu.ac.ae/main/ar/photo_gallery/js,js,2018-10-30 11:20:30,2018-10-30 11:20:30
https://www.zu.ac.ae/main/ar/photo_gallery/fonts,fonts,2018-10-30 11:20:30,2018-10-30 11:20:30
https://www.zu.ac.ae/main/ar/photo_gallery/2010,2010,2018-10-30 11:20:27,2018-10-30 11:20:27
https://www.zu.ac.ae/main/ar/photo_gallery/current_year,2015,2018-10-30 11:19:31,2018-10-30 11:19:31
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/March,March,2019-04-14 13:19:10,2019-04-14 13:19:10
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/March/ehs2019,فعاليات يوم البيئة والصحة والسلامة 2019,2019-04-14 13:19:15,2019-04-15 09:43:45
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/March/careerSpotlight,المعرض المهني السنوي 2019,2019-04-14 13:19:11,2019-04-15 09:43:57
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/March/Visit-Wahat-Al-Karama-Mar26,زيارة واحة الكرامة,2019-04-25 13:32:01,2019-04-25 13:36:16
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April,أبريل,2019-04-25 13:30:42,2019-04-25 13:30:42
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April/QS-Maple-April22,QS Maple Event,2019-04-25 13:35:36,2019-04-25 13:35:36
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April/Think-Science-Awards-April25,جائزة بالعلوم نفكر,2019-04-25 13:35:35,2019-04-25 13:37:24
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April/World-health-day-April26,يوم الصحة العالمي 2019,2019-04-25 13:35:34,2019-04-25 13:37:10
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April/Grad-2019-April20,حفل تخريج جامعة زايد 2019,2019-04-25 13:35:29,2019-04-25 13:36:54
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April/Book-Fair,معرض أبوظبي الدولي للكتاب,2019-04-30 14:13:02,2019-04-30 14:13:50
https://www.zu.ac.ae/main/ar/photo_gallery/current_year/April/Shk-Abdulla-Visit,زيارة سمو الشيخ عبدالله بن زايد آل نهيان لجامعة زايد,2019-04-30 14:12:55,2019-04-30 14:14:14
